Pic,Word,Unr_Distractor,Cond
krug.png,Krug,Auto,filler
birne.png,Birne,Wolke,filler
schale.png,Schale,Kuchen,unrel
muetze.png,Mütze,Vase,unrel
sofa.png,Sofa,,control
brot.png,Brot,,control
ziege.png,Ziege,Schwein,rel
birne.png,Birne,Flasche,unrel
hand.png,Hand,Auge,rel
schnecke.png,Schnecke,,control
glas.png,Glas,Tasse,rel
apfel.png,Apfel,Banane,rel
socke.png,Socke,,control
brot.png,Brot,Gitarre,unrel
krug.png,Krug,Stuhl,unrel
birne.png,Birne,Ananas,rel
trommel.png,Trommel,,control
zwiebel.png,Zwiebel,Ohr,unrel
sage.png,Säge,,control
hand.png,Hand,Fisch,unrel
sofa.png,Sofa,Zange,unrel
rock.png,Rock,Weste,rel
ziege.png,Ziege,,control
bett.png,Bett,Stuhl,rel
muetze.png,Mütze,Kleid,rel
fuss.png,Fuß,,control
schnecke.png,Schnecke,Fisch,rel
krug.png,Krug,,control
socke.png,Socke,Gurke,unrel
trommel.png,Trommel,Hocker,unrel
birne.png,Birne,,control
schale.png,Schale,Vase,rel
brot.png,Brot,Kuchen,rel
sage.png,Säge,Auge,unrel
glas.png,Glas,,control
fuss.png,Fuß,Ohr,rel
zwiebel.png,Zwiebel,,control
bett.png,Bett,Kleid,unrel
ziege.png,Ziege,Tasse,unrel
socke.png,Socke,Hemd,rel
apfel.png,Apfel,,control
krug.png,Krug,Flasche,rel
schnecke.png,Schnecke,Banane,unrel
rock.png,Rock,,control
hand.png,Hand,,control
zwiebel.png,Zwiebel,Gurke,rel
sofa.png,Sofa,Hocker,rel
muetze.png,Mütze,,control
fuss.png,Fuß,Schwein,unrel
trommel.png,Trommel,Gitarre,rel
schale.png,Schale,,control
rock.png,Rock,Ananas,unrel
sage.png,Säge,Zange,rel
glas.png,Glas,Weste,unrel
bett.png,Bett,,control
apfel.png,Apfel,Hemd,unrel
