Pic,Word,Unr_Distractor,Cond
ziege.png,Ziege,Tür,filler
muetze.png,Mütze,Ring,filler
brot.png,Brot,,control
fuss.png,Fuß,Schwein,unrel
bett.png,Bett,,control
schnecke.png,Schnecke,Banane,unrel
hand.png,Hand,Auge,rel
krug.png,Krug,Flasche,rel
zwiebel.png,Zwiebel,,control
trommel.png,Trommel,Hocker,unrel
glas.png,Glas,Tasse,rel
birne.png,Birne,,control
schale.png,Schale,,control
rock.png,Rock,Weste,rel
sofa.png,Sofa,Zange,unrel
muetze.png,Mütze,Vase,unrel
fuss.png,Fuß,,control
krug.png,Krug,Stuhl,unrel
brot.png,Brot,Kuchen,rel
hand.png,Hand,Fisch,unrel
sage.png,Säge,,control
apfel.png,Apfel,Banane,rel
glas.png,Glas,,control
bett.png,Bett,Kleid,unrel
ziege.png,Ziege,,control
socke.png,Socke,Gurke,unrel
trommel.png,Trommel,,control
zwiebel.png,Zwiebel,Ohr,unrel
sofa.png,Sofa,Hocker,rel
krug.png,Krug,,control
schnecke.png,Schnecke,Fisch,rel
birne.png,Birne,Ananas,rel
rock.png,Rock,,control
brot.png,Brot,Gitarre,unrel
muetze.png,Mütze,,control
sage.png,Säge,Auge,unrel
ziege.png,Ziege,Tasse,unrel
socke.png,Socke,Hemd,rel
apfel.png,Apfel,,control
schale.png,Schale,Kuchen,unrel
bett.png,Bett,Stuhl,rel
hand.png,Hand,,control
muetze.png,Mütze,Kleid,rel
birne.png,Birne,Flasche,unrel
schnecke.png,Schnecke,,control
zwiebel.png,Zwiebel,Gurke,rel
sage.png,Säge,Zange,rel
rock.png,Rock,Ananas,unrel
sofa.png,Sofa,,control
ziege.png,Ziege,Schwein,rel
apfel.png,Apfel,Hemd,unrel
trommel.png,Trommel,Gitarre,rel
socke.png,Socke,,control
glas.png,Glas,Weste,unrel
fuss.png,Fuß,Ohr,rel
schale.png,Schale,Vase,rel
