Pic,Word,Unr_Distractor,Cond
schale.png,Schale,Baum,filler
hand.png,Hand,Schiff,filler
socke.png,Socke,,control
birne.png,Birne,,control
ziege.png,Ziege,Tasse,unrel
fuss.png,Fuß,,control
brot.png,Brot,Kuchen,rel
muetze.png,Mütze,Vase,unrel
schnecke.png,Schnecke,Fisch,rel
krug.png,Krug,,control
socke.png,Socke,Gurke,unrel
bett.png,Bett,Stuhl,rel
rock.png,Rock,,control
birne.png,Birne,Ananas,rel
sofa.png,Sofa,Hocker,rel
glas.png,Glas,Weste,unrel
schnecke.png,Schnecke,,control
trommel.png,Trommel,,control
zwiebel.png,Zwiebel,Ohr,unrel
krug.png,Krug,Flasche,rel
sage.png,Säge,Auge,unrel
hand.png,Hand,,control
apfel.png,Apfel,Banane,rel
ziege.png,Ziege,Schwein,rel
bett.png,Bett,,control
schale.png,Schale,Kuchen,unrel
trommel.png,Trommel,Hocker,unrel
muetze.png,Mütze,Kleid,rel
zwiebel.png,Zwiebel,,control
hand.png,Hand,Fisch,unrel
socke.png,Socke,Hemd,rel
glas.png,Glas,Tasse,rel
apfel.png,Apfel,,control
sage.png,Säge,Zange,rel
brot.png,Brot,,control
krug.png,Krug,Stuhl,unrel
rock.png,Rock,Weste,rel
schnecke.png,Schnecke,Banane,unrel
muetze.png,Mütze,,control
zwiebel.png,Zwiebel,Gurke,rel
bett.png,Bett,Kleid,unrel
apfel.png,Apfel,Hemd,unrel
sofa.png,Sofa,,control
trommel.png,Trommel,Gitarre,rel
hand.png,Hand,Auge,rel
schale.png,Schale,Vase,rel
ziege.png,Ziege,,control
fuss.png,Fuß,Ohr,rel
rock.png,Rock,Ananas,unrel
glas.png,Glas,,control
sofa.png,Sofa,Zange,unrel
brot.png,Brot,Gitarre,unrel
sage.png,Säge,,control
fuss.png,Fuß,Schwein,unrel
birne.png,Birne,Flasche,unrel
schale.png,Schale,,control
